Id,Expected
1,0.0857645300044
2,0.0
3,1.5940043282
4,6.91338019816
5,0.0
6,0.173935487676
7,3.21992059057
8,0.867393740278
9,0.0
10,14.1823711953
11,0.911013321069
12,0.0348349341299
13,2.73350112908
14,0.709341005681
15,0.0
16,0.0
17,0.0
18,0.393315433678
19,0.291799418769
20,0.0
21,0.0
22,2.03159632117
23,2.23631741179
24,0.0
25,0.0
26,0.00960892949233
27,0.020464097433
28,0.0
29,0.0
30,3.07486155155
31,0.0
32,0.06033201759
33,0.0489728075538
34,0.0
35,0.0
36,1.9043101043
37,0.0
38,0.0
39,0.914891058494
40,0.464112671567
41,0.0
42,0.867758914964
43,0.0
44,0.0
45,0.0
46,0.0
47,0.441992771038
48,0.0
49,0.0
50,0.0
51,10.3333275962
52,0.0
53,0.752679520138
54,0.0
55,0.0
56,0.0
57,2.91580639988
58,0.0
59,4.25417493306
60,0.965543714832
61,0.531845905545
62,0.279040739353
63,0.040226754371
64,0.22809174869
65,0.0
66,0.0
67,0.0
68,3.98883921926
69,0.0
70,0.0
71,0.115723188503
72,0.0
73,0.0
74,0.0
75,0.531081068655
76,0.0149777822269
77,0.0
78,0.0
79,0.209039090626
80,0.0
81,0.394499190498
82,0.0
83,2.70766612491
84,0.0
85,0.0
86,0.686816659878
87,0.0
88,0.0
89,0.212334165636
90,0.0441335747865
91,0.0
92,0.0620753446922
93,0.0729163607606
94,0.0
95,0.0
96,0.0
97,0.111591950063
98,0.0
99,0.272039272246
100,0.0
